YOR039W YOR061W
YJL011C YOR207C
YBR193C YNL025C
YLR421C YOR261C
YKL145W YPR108W
YML029W YOL013C
YKR006C YPL183W-A
YKR002W YLR115W
YBR081C YER148W
YBR146W YHL004W
YDR145W YMR227C
YDR240C YPR182W
YBL041W YFR050C
YGR095C YOR001W
YDR240C YLR298C
YDL029W YLR370C
YGL133W YOR304W
YCR035C YGR195W
YLR071C YPR070W
YDR308C YPR070W
YDR308C YHR058C
YDL082W YPL249C-A
YML092C YOR362C
YNL236W YPL042C
YGR074W YHR165C
YDR041W YKL155C
YHR027C YHR200W
YDR407C YMR218C
YKL173W YPR178W
YNR010W YPR168W
YCR052W YHR056C
YDR108W YOR115C
YNL252C YPR100W
YER133W YOR179C
YDR060W YOR206W
YOR224C YPR190C
YHL030W YIL075C
YGR056W YMR091C
YKL173W YLR438C-A
YAL043C YOR179C
YDR246W YGR166W
YJL140W YPR187W
YER157W YML071C
YDR469W YPL138C
YJL176C YMR033W
YDR324C YJL109C
YDL082W YIL018W
YBR193C YDR443C
YDL082W YOL127W
YCR093W YGR134W
YLR447C YOR270C
YJL011C YNL113W
YDL082W YNL069C
YDR418W YFR031C-A
YOR116C YPR190C
YGL151W YNL025C
YDR462W YNL177C
YPL243W YPR088C
YNL306W YOR158W
YDR238C YPL010W
YOL142W YOR001W
YER068W YNL288W
YKR008W YLR033W
YER112W YKL173W
YDR280W YGR195W
YDR337W YPL013C
YDR121W YPR175W
YDR477W YER027C
YLR115W YPR107C
YKL003C YPL118W
YBR221C YGR193C
YJL006C YKL139W
YDR427W YOR259C
YDR331W YLR088W
YML015C YMR005W
YFL024C YHR099W
YMR188C YNL306W
YGL127C YNL236W
YBR282W YDR116C
YDL007W YKL145W
YDL147W YFR052W
YNL287W YPL010W
YGR215W YPL013C
YDL007W YLR421C
YBR127C YEL051W
YMR029C YNL127W
YJL063C YNL284C
YBR122C YLR312W-A
YER094C YOL038W
YDL150W YOR224C
YJL063C YMR225C
YDL147W YOR259C
YDR407C YGR166W
YDR462W YLR439W
YGR158C YNL232W
YLR330W YMR237W
YDR318W YGR179C
YER146W YGR074W
YOR340C YPR110C
YBR251W YDR337W
YPL181W YPR023C
YAL002W YDL077C
YGR232W YOR117W
YFR052W YOR261C
YHR058C YMR112C
YBR122C YNL005C
YDL029W YJR065C
YIL075C YKL145W
YDR176W YDR448W
YDR195W YOR179C
YER094C YPR103W
YDR235W YGR074W
YER012W YOR362C
YLR292C YOR254C
YKR006C YMR193W
YGR034W YOR234C
YDL007W YHL030W
YEL055C YMR093W
YDR473C YHR165C
YDR303C YMR033W
YGL233W YLR166C
YDR416W YLR117C
YDR337W YDR347W
YBR282W YMR193W
YKL144C YOR116C
YLR275W YPR082C
YDR303C YLR357W
YOR362C YPR103W
YMR193W YNL185C
YLR055C YPL254W
YBR122C YCR071C
YER172C YLR147C
YDR176W YGR252W
YDR148C YIL125W
YBR081C YDR392W
YGR156W YKR002W
YBR193C YHR041C
YGR134W YNR052C
YDR337W YJR101W
YNL113W YOR210W
YLR439W YML025C
YBL074C YBR055C
YHR069C YOR001W
YLR439W YNL252C
YFR031C-A YGR085C
YCL010C YML015C
YDR167W YDR176W
YGL025C YNL236W
YGR215W YJR101W
YAL013W YMR263W
YBL038W YGR220C
YLR192C YPR041W
YGR165W YKL155C
YER146W YER172C
YNR023W YPL129W
YGR132C YGR231C
YKL003C YNL137C
YOR361C YPR041W
YBR254C YML077W
YLL004W YML065W
YBR198C YMR236W
YBR193C YPR168W
YDR394W YOR117W
YHL004W YPL013C
YDL087C YDR240C
YDR443C YLR071C
YJR101W YMR158W
YDL075W YGR034W
YCR071C YMR024W
YGL066W YMR236W
YAL003W YPL048W
YAL033W YNL282W
YFR004W YFR052W
YBL026W YBR152W
YAL016W YGL190C
YDR429C YMR146C
YMR024W YNL005C
YDL092W YPR088C
YOR069W YOR132W
YDR235W YLR147C
YDL185W YHR039C-A
YLR147C YML046W
YBR146W YMR188C
YCR042C YER148W
YDL150W YPR190C
YIR009W YJL203W
YBR060C YLL004W
YDR240C YGR013W
YJL002C YMR149W
YGL155W YKL019W
YBL038W YDR405W
YJR065C YKL013C
YMR223W YPL011C
YDR097C YOL090W
YDR237W YMR024W
YOR174W YPR168W
YML025C YMR193W
YGR090W YIL035C
YCR046C YKL167C
YGL151W YPR168W
YEL055C YPL126W
YML098W YMR005W
YBR289W YJL176C
YDR175C YJR113C
YLR071C YNL236W
YDR308C YNL236W
YGL244W YOR123C
YHL030W YOR261C
YDL147W YDR427W
YAL013W YOL004W
YOL005C YOR151C
YER022W YHR041C
YMR288W YNL286W
YMR078C YOL094C
YDL150W YNR003C
YNL244C YPR041W
YJR101W YNR037C
YBR288C YPL195W
YCL010C YMR005W
YLR148W YPL045W
YFR031C-A YMR142C
YOR207C YOR224C
YHR039C-A YLR447C
YDR449C YJL069C
YBR251W YPL118W
YJL099W YKR027W
YDL043C YMR240C
YDL077C YLR148W
YBL041W YJL001W
YBR119W YMR125W
YDR462W YPR100W
YBL018C YHR062C
YGR091W YLR275W
YGR056W YLR321C
YFL039C YLR052W
YGL244W YOL145C
YFR050C YGL011C
YCR052W YML127W
YBR253W YOL135C
YML049C YMR288W
YLR384C YPL101W
YBR055C YOR308C
YDL097C YFR004W
YDR175C YGR084C
YER029C YLR275W
YGR074W YML046W
YDL002C YFL039C
YMR075W YNL107W
YGR091W YHR165C
YER022W YPR168W
YGL112C YGR252W
YHL004W YJR101W
YGR013W YMR125W
YGL005C YGR120C
YKR026C YLR291C
YDL082W YGL031C
YDL047W YKR028W
YHR166C YLR127C
YBL038W YKR085C
YEL051W YPR036W
YLR148W YMR231W
YDR116C YKL167C
YCR071C YLR312W-A
YBR253W YPL042C
YBR175W YHR119W
YCR046C YHR147C
YBR198C YML098W
YDL175C YJL050W
YGR095C YNL232W
YFL018C YIL125W
YDL150W YKR025W
YMR223W YOL148C
YGR074W YIL061C
YCR071C YDR462W
YGR220C YML025C
YLR055C YMR227C
YDR418W YGR085C
YBL038W YJL063C
YHR187W YPL101W
YGR220C YNL252C
YER112W YGR074W
YGL019W YGR090W
YFL049W YPL129W
YJL176C YPL016W
YCR071C YNL005C
YBR193C YNR010W
YGR104C YMR112C
YHR200W YKL145W
YML114C YMR236W
YGL044C YMR061W
YMR193W YNL284C
YDR166C YIL068C
YDR405W YDR462W
YCR081W YOL135C
YGL112C YML098W
YDR472W YOR115C
YMR193W YMR225C
YBL084C YLR127C
YDR237W YLR312W-A
YLR298C YPR182W
YDR190C YLR052W
YDL082W YGL103W
YKL155C YPL118W
YGR158C YHR081W
YDR443C YNL025C
YBR039W YDR298C
YCR046C YPL183W-A
YJR093C YNL222W
YDR237W YDR462W
YNL301C YPL143W
YDR443C YGL025C
YDR301W YPR107C
YDR176W YGR274C
YDR207C YNL330C
YAL003W YKL081W
YGR158C YHR069C
YDR116C YHR147C
YDR041W YMR188C
YIL071C YOL117W
YBR154C YDL140C
YGL201C YLR274W
YMR112C YNL025C
YMR263W YOL004W
YNL306W YPL118W
YER012W YPR103W
YHR147C YKR085C
YBR198C YMR223W
YML046W YPR182W
YER122C YPL010W
YHL025W YPL129W
YGL151W YNR010W
YJL053W YJL154C
YCR042C YDR392W
YBR251W YNL137C
YNR003C YOR116C
YDR118W YOR249C
YIL062C YKL013C
YJL099W YMR237W
YGL066W YMR223W
YNL252C YPL183W-A
YBR282W YNL185C
YBR081C YMR236W
YER122C YIL076W
YHR147C YJL063C
YMR078C YNL290W
YBR060C YPR162C
YER112W YER172C
YHR056C YLR033W
YLR357W YML127W
YGR275W YLR033W
YHR041C YPL042C
YDR116C YPL183W-A
YER112W YGR075C
YBR127C YOR270C
YAL002W YLR396C
YGR084C YGR215W
YHR166C YKL022C
YOR174W YPL042C
YIL109C YKL057C
YDR116C YDR462W
YER021W YIL075C
YGR047C YPL007C
YGR084C YMR158W
YDL150W YKL144C
YER112W YER146W
YDR477W YGL115W
YER112W YLR147C
YJR101W YOR158W
YBR289W YFL049W
YDR404C YOR151C
YAL021C YNL288W
YDL116W YIL109C
YBR055C YDR378C
YBL041W YOR362C
YJL001W YOL038W
YOL135C YPR070W
YKL003C YNL306W
YFR052W YOR259C
YIL093C YKL003C
YNR046W YOL124C
YJL203W YMR240C
YNL222W YNL317W
YJL154C YOR132W
YOR210W YOR340C
YJL063C YNL177C
YDR392W YML015C
YIL084C YMR263W
YHR058C YLR071C
YGR120C YNL051W
YEL051W YKL080W
YML009C YOR150W
YKL018W YLR277C
YDR378C YLR438C-A
YDR427W YER021W
YJL001W YPR103W
YDR434W YLR088W
YGR274C YPL254W
YER022W YPL042C
YKL155C YNL137C
YJL050W YOL115W
YIL021W YOR224C
YBR198C YPL011C
YHR069C YNL232W
YMR225C YOR150W
YKL028W YKR062W
YDL007W YHR027C
YLR277C YNL317W
YGL240W YLR102C
YBL038W YBR122C
YCR046C YMR193W
YDR322W YNL185C
YGR084C YNR037C
YGR156W YNL222W
YDR118W YNL172W
YGL066W YPL011C
YDR427W YFR004W
YDL077C YLR396C
YGR056W YPR034W
YDL147W YER021W
YGR104C YPR070W
YBR055C YPR178W
YHR012W YJL154C
YGL112C YGR274C
YNL248C YPR110C
YML025C YNL185C
YDL175C YOL115W
YGL048C YLR421C
YGL112C YPL011C
YBR123C YGR047C
YJL063C YLR439W
YBR055C YLR438C-A
YGL172W YGR119C
YGL129C YKL155C
YMR237W YOR299W
YDL007W YDL147W
YDR080W YLR396C
YMR158W YPL118W
YDL147W YFR004W
YDR145W YDR448W
YBL026W YHR156C
YDR448W YML114C
YCR081W YOR174W
YDR404C YJL140W
YJR113C YKL003C
YBR122C YDR322W
YDL076C YMR075W
YLR447C YPR036W
YJR041C YNR038W
YCR081W YOL051W
YNL069C YNL301C
YGR095C YGR158C
YDR337W YGR215W
YOR290C YPL129W
YDR462W YKL167C
YDR337W YMR158W
YKL144C YOR224C
YGR165W YMR188C
YBR254C YDR407C
YDR245W YPL050C
YDR116C YMR193W
YEL051W YOR332W
YGL127C YPL042C
YKL022C YLR102C
YLR033W YMR091C
YDR422C YGL208W
YKL018W YLR115W
YDR443C YPR168W
YBR055C YPR082C
YBR198C YOL148C
YLR312W-A YOR150W
YCL010C YDR176W
YDR211W YLR291C
YBR171W YLR292C
YJL065C YPR175W
YDR224C YNL030W
YBR146W YJR113C
YDR240C YLR147C
YGR095C YHR081W
YGL066W YOL148C
YKL144C YOR210W
YHR086W YLR275W
YDR404C YOL005C
YDR301W YKR002W
YMR112C YPR168W
YAL001C YDR362C
YIL093C YKL155C
YDR427W YGR232W
YCR081W YDR308C
YER148W YPL082C
YGR095C YHR069C
YDL155W YMR199W
YKL018W YKL059C
YLR147C YPR178W
YFL024C YJL081C
YDL029W YKL013C
YGL133W YPR175W
YGL100W YIL109C
YBR282W YNL284C
YBR081C YMR223W
YBR282W YMR225C
YDL092W YPL243W
YPR010C YPR110C
YGL044C YOR250C
YLR115W YNL222W
YBL038W YML025C
YDR337W YNR037C
YKL167C YNL185C
YJR068W YMR078C
YDL147W YGR232W
YDL185W YLR447C
YBL038W YNL252C
YDR462W YHR147C
YER029C YIL061C
YIL115C YJL061W
YKR006C YOR150W
YHR058C YNL025C
YML114C YPL011C
YEL036C YJR075W
YDR175C YGL129C
YGR215W YNR037C
YKL012W YPL178W
YKR008W YML127W
YCR033W YKR029C
YER178W YFL018C
YFR050C YML092C
YOR319W YPL213W
YGR232W YPR108W
YGL066W YGL112C
YMR314W YOL038W
YBR103W YDR155C
YCR042C YMR236W
YBR122C YML009C
YGL070C YPR187W
YBR122C YGR220C
YBL090W YHL004W
YBR119W YDR240C
YOL051W YPL042C
YLR439W YMR024W
YMR158W YNL137C
YNL059C YPL235W
YBR251W YNL306W
YOL004W YPR023C
YOR234C YPR043W
YDR347W YHL004W
YGL025C YPL042C
YGL005C YML071C
YGR074W YPR178W
YBR154C YOR340C
YGR084C YOR158W
YER021W YOR261C
YDR462W YPL183W-A
YGL194C YIL112W
YJL069C YLR222C
YCR093W YNR052C
YAR042W YHR195W
YFR040W YJL098W
YIL084C YNL097C
YJR113C YKL155C
YPL003W YPR066W
YAL043C YDR301W
YNL005C YNL185C
YMR314W YPR103W
YBR251W YGR165W
YGR020C YHR039C-A
YIR008C YNL102W
YBR234C YNR035C
YER029C YPL213W
YDR322W YNL284C
YER172C YNL147W
YHL004W YMR158W
YGR285C YHR064C
YJL203W YPL213W
YDR322W YMR225C
YAL013W YIL084C
YDL087C YHR086W
YKL144C YPR190C
YGL070C YIL021W
YKR085C YNL185C
YNL097C YOL004W
YJL063C YPR100W
YGR120C YNL041C
YJR068W YNL290W
YJR041C YLR221C
YMR075W YPR023C
YBL003C YNL030W
YHR147C YML025C
YBR081C YPL011C
YGR085C YMR142C
YML025C YNL284C
YGL137W YNL287W
YML025C YMR225C
YDR443C YNR010W
YLR071C YOL135C
YDR308C YOL135C
YOR341W YPR110C
YML114C YOL148C
YBL090W YGR165W
YBR193C YGL151W
YBL074C YER112W
YLR321C YMR033W
YMR193W YNL177C
YBL018C YNL221C
YLL036C YLR117C
YGR166W YMR218C
YER111C YLR182W
YDR041W YJR113C
YDR448W YGL066W
YKR068C YML077W
YKL012W YLR147C
YKL144C YNR003C
YDR292C YKL154W
YLR321C YLR357W
YMR112C YNR010W
YBR095C YMR075W
YGR232W YHR200W
YMR125W YPL178W
YNL248C YPR010C
YER172C YHR156C
YOL021C YOR001W
YER112W YLR275W
YDR308C YPL042C
YDR167W YGL066W
YMR075W YPL181W
YML015C YML114C
YBR060C YHR118C
YER029C YOR308C
YHR196W YMR093W
YHR069C YHR081W
YHL004W YNR037C
YDL007W YGL048C
YGL150C YPL235W
YBR251W YIL093C
YMR268C YNL147W
YFR004W YGR232W
YGR120C YML071C
YDR427W YHL030W
YBR278W YDR121W
YKR025W YOR116C
YCR042C YML098W
YLR418C YOR123C
YDR195W YDR301W
YBL038W YKR006C
YDL087C YLR275W
YGL031C YIL018W
YBR122C YKR085C
YJR101W YPL118W
YDR145W YGR274C
YBR081C YOL148C
YKL144C YKR025W
YHR099W YMR236W
YLR439W YNL005C
YDR337W YOR158W
YIL112W YKR029C
YDL147W YHL030W
YBL090W YIL093C
YPL086C YPL101W
YMR033W YOR290C
YFL013C YLR052W
YLR447C YOR332W
YBR122C YJL063C
YML065W YPR162C
YDL150W YDR045C
YDR462W YMR193W
YDL140C YPR187W
YGR215W YOR158W
YKL167C YNL284C
YKL122C YPR088C
YFR010W YKL145W
YGR220C YMR024W
YKL167C YMR225C
YER022W YGL151W
YFR010W YLR421C
YLR384C YPL086C
YGR180C YJL026W
YMR231W YPL045W
YGL213C YPR189W
YNL290W YOL094C
YHR058C YPR168W
YGR030C YNL282W
YDR394W YOR259C
YHL019C YKL135C
YDR295C YPR179C
YNR003C YOR210W
YML009C YNL252C
YGL070C YOR224C
YGR075C YLR147C
YDR211W YGR083C
YDR246W YDR472W
YBR081C YGL112C
YDL140C YIL021W
YDL007W YFR010W
YGR134W YNL288W
YER018C YIL144W
YGL240W YNL172W
YHR147C YKR006C
YBR097W YLR360W
YBR152W YLR147C
YCR081W YGR104C
YHR187W YPL086C
YLR240W YPL120W
YHR196W YPL126W
YNL005C YNL284C
YBR152W YDR473C
YNL107W YOR244W
YCR071C YML009C
YFR004W YKL145W
YIL076W YNL287W
YMR078C YOR144C
YCR071C YGR220C
YFR051C YGL137W
YHL019C YPL259C
YGL011C YOL038W
YBR154C YOR116C
YKL155C YPL013C
YOR261C YPR108W
YER012W YGL011C
YER133W YNL317W
YKR085C YNL284C
YDL030W YDL043C
YHR099W YJL081C
YGL048C YOR117W
YIL068C YJL085W
YDR324C YGR128C
YKR085C YMR225C
YGL129C YMR188C
YBR103W YOL068C
YDR405W YGR220C
YML073C YNL301C
YAL043C YNL317W
YOL145C YOR123C
YJR101W YNL137C
YCR081W YER022W
YBR251W YJR101W
YGR262C YKR038C
YDR407C YDR472W
YDR237W YML009C
YDR237W YGR220C
YCR095C YNL056W
YNL069C YPL143W
YBL074C YHR165C
YGR220C YLR312W-A
YHL004W YOR158W
YBR127C YPR036W
YLR312W-A YML025C
YFR004W YHL030W
YML098W YML114C
YNL025C YOL135C
YMR078C YOR217W
YLR312W-A YNL252C
YMR223W YPL254W
YOR341W YPR010C
YOL127W YPL249C-A
YCR042C YPL011C
YER148W YMR005W
YCL010C YML114C
YAL002W YPL045W
YGR252W YGR274C
YGR220C YNL005C
YNR003C YPR190C
YIL084C YPL139C
YBR257W YHR062C
YDL098C YGR074W
YMR193W YPR100W
YGR091W YPR178W
YBR146W YGL129C
YEL055C YJL109C
YDR448W YER148W
YBR198C YLR055C
YER094C YMR314W
YDR073W YJL176C
YHR012W YOR132W
YER146W YOR308C
YER029C YPR178W
YGR091W YLR438C-A
YMR263W YPR023C
YDR237W YDR405W
YJL063C YKL167C
YCR046C YDR405W
YIL093C YPL013C
YDR167W YER148W
YHR058C YNR010W
YNL317W YPR107C
YJR063W YPR110C
YOR210W YOR341W
YGL092W YKL057C
YHR099W YMR223W
YPL139C YPL181W
YFR052W YGR232W
YGL105W YGL245W
YKR006C YML025C
YGL151W YGR104C
YKR006C YNL252C
YDR195W YNL317W
YDR303C YFR037C
YCR046C YOR150W
YER021W YFR052W
YDR422C YDR477W
YDL140C YOR224C
YCR033W YOL068C
YCR071C YKR085C
YLR440C YOR075W
YDL040C YHR013C
YBR253W YMR112C
YGR084C YPL118W
YNL151C YPR110C
YER094C YFR050C
YGR156W YLR115W
YLR166C YPR055W
YMR263W YPL181W
YNL330C YOL004W
YLR035C YMR167W
YCR042C YOL148C
YIL071C YMR025W
YDL082W YDR418W
YPL031C YPL219W
YDR405W YKR085C
YAL043C YGR156W
YCR071C YJL063C
YOR304W YPR175W
YER029C YPR082C
YGR104C YHR041C
YBR279W YLR418C
YHR056C YKR008W
YIL068C YLR166C
YBL090W YBR251W
YGR275W YKR008W
YER151C YNR051C
YDL098C YER172C
YBR282W YLR439W
YDR237W YKR085C
YDR116C YDR405W
YLR270W YOR173W
YGL022W YJL002C
YNL252C YOR150W
YDR405W YJL063C
YLR033W YPR034W
YJR113C YMR188C
YGR262C YML036W
YJL098W YKR028W
YGR120C YPR105C
YDR080W YPL045W
YDL098C YER146W
YBR102C YGL233W
YDL098C YLR147C
YAL042W YML067C
YEL002C YGL022W
YGR165W YGR215W
YJR113C YPL013C
YDR116C YOR150W
YMR158W YPL013C
YKL135C YPR029C
YDL098C YDR473C
YDR237W YJL063C
YGR165W YMR158W
YKL059C YLR277C
YBR126C YDR074W
YDL056W YLR182W
YDR322W YNL177C
YCR046C YDR237W
YGR020C YLR447C
YIL093C YJR101W
YHR099W YPL011C
YKR002W YNL222W
YJL176C YPL129W
YGL031C YML073C
YDL007W YHR200W
YDL087C YML046W
YDR427W YIL075C
YCR042C YGL112C
YFR037C YKR008W
YFR031C-A YML073C
YJL063C YPL183W-A
YOR210W YOR224C
YBR127C YKL080W
YDR311W YLR005W
YKL018W YPR107C
YLR129W YLR222C
YDL076C YPR023C
YDL097C YOR261C
YBR154C YPR187W
YMR240C YMR288W
YBL038W YMR024W
YDL147W YIL075C
YDL087C YIL061C
YBL026W YBR055C
YDR207C YNL097C
YJL024C YPL195W
YDR195W YGR156W
YJL203W YOR319W
YLR192C YOR361C
YDR322W YLR439W
YNL025C YOR174W
YDL082W YMR142C
YBR234C YJR065C
YGR056W YHR056C
YGL092W YJR042W
YNL025C YOL051W
YGR084C YNL137C
YDR175C YKL155C
YHR010W YPL249C-A
YCL010C YGL066W
YDR116C YDR237W
YHR081W YOL021C
YDR167W YDR392W
YOR244W YPR023C
YGR274C YML015C
YAL043C YLR277C
YDL076C YPL181W
YBL026W YGR091W
YDR073W YFL049W
YLR440C YNL258C
YBR119W YHR086W
YDR378C YLR147C
YBR154C YIL021W
YDR202C YDR328C
YBL099W YBR039W
YMR075W YNL330C
YKL059C YLR115W
YFR052W YHL030W
YFL039C YOR141C
YGL172W YJL041W
YHR099W YOL148C
YBR289W YNR023W
YJR063W YNL248C
YGL092W YLR208W
YEL036C YJL183W
YDL111C YDR280W
YMR117C YOL069W
YPL143W YPL249C-A
YNL151C YOR207C
YBL084C YOR249C
YJR101W YNL306W
YBL026W YKL173W
YGR013W YHR086W
YOL148C YPL011C
YDL140C YDR404C
YDR235W YMR125W
YHR010W YIL018W
YDR303C YKR008W
YHR156C YNL147W
YKR025W YOR224C
YBR198C YPL254W
YBR154C YOR341W
YDR118W YLR127C
YBR127C YOR332W
YBR234C YDL029W
YDR045C YOR116C
YOL135C YPL042C
YLR147C YPL178W
YKL167C YNL177C
YGL066W YPL254W
YER112W YOR308C
YFR010W YOR117W
YOR224C YPR110C
YJR063W YPR010C
YKL122C YPL243W
YNL244C YOR361C
YAL034W-A YPL233W
YDL002C YLR052W
YMR142C YNL301C
YBR097W YLR240W
YDL195W YGL100W
YBL038W YLR312W-A
YDR121W YGL133W
YNL177C YNL252C
YGL172W YIL115C
YIL126W YMR091C
YOR116C YPR110C
YJL063C YMR193W
YDR190C YOR141C
YDR295C YNL021W
YHR086W YMR125W
YOR210W YPR190C
YBL090W YJR113C
YCR081W YPR070W
YKL173W YNL147W
YBR251W YGR084C
YGR274C YMR005W
YDL029W YIL062C
YGR128C YJL109C
YER146W YPR082C
YBL038W YNL005C
YBR122C YKR006C
YBR146W YDR175C
YDR155C YGL194C
YHL030W YKL145W
YDR347W YJR113C
YKL167C YLR439W
YGR104C YPL042C
YDR394W YER021W
YBR055C YER112W
YER012W YML092C
YAL002W YDR080W
YCL010C YDR167W
YGR013W YLR275W
YBR288C YGR261C
YNL005C YNL177C
YGL127C YMR112C
YDR176W YHR099W
YGR074W YPL178W
YMR033W YPL016W
YBL084C YNL172W
YDR176W YER148W
YML073C YPL143W
YBL090W YGR084C
YKR085C YNL177C
YDR394W YFR004W
YAL043C YKL059C
YML098W YMR227C
YGR095C YOL142W
YDL075W YPR043W
YGL031C YNL301C
YHR027C YOR261C
YJR041C YKL014C
YBL038W YCR071C
YGR078C YNL153C
YFR031C-A YNL301C
YER094C YJL001W
YML077W YOR115C
YFR004W YHR027C
YGL145W YLR440C
YBR095C YPR023C
YGR095C YOL021C
YBR154C YOR224C
YGR119C YIL115C
YDR027C YDR484W
YBR282W YCR046C
YAL007C YAR002C-A
YCR052W YLR033W
YDR462W YOR150W
YBR193C YHR058C
YIL021W YPR187W
YMR240C YOR319W
YMR005W YMR236W
YBR119W YDL087C
YDL145C YFR051C
YKL018W YKR002W
YLR275W YML046W
YCR095C YHL029C
YJL001W YMR314W
YDR427W YOR261C
YKR025W YPR190C
YFR037C YGR056W
YLR439W YML009C
YNL185C YNL252C
YDR416W YJR050W
YOR117W YOR261C
YBR146W YKL003C
YKR085C YLR439W
YNL113W YOR116C
YML009C YMR024W
YDL077C YDR080W
YHR147C YNL005C
YDL145C YGL137W
YNR037C YPL118W
YJR093C YOR179C
YBR167C YGR030C
YDR073W YHL025W
YNL041C YPR105C
YDR405W YML025C
YLR015W YPL138C
YBR095C YPL181W
YER157W YNL051W
YAL033W YGR030C
YDR405W YNL252C
YML127W YMR033W
YDR443C YER022W
YER008C YGL233W
YMR193W YPL183W-A
YKL145W YOR261C
YDL147W YOR261C
YML094W YNL153C
YMR213W YPR101W
YLL022C YPL001W
YLR035C YNL082W
YKR025W YNR003C
YBR167C YHR062C
YBR198C YMR227C
YGL025C YMR112C
YCR046C YML025C
YGL151W YHR058C
YJL011C YOR116C
YCR093W YNL288W
YJL053W YOR069W
YIL018W YPL143W
YCR046C YNL252C
YBR122C YPR100W
YDR394W YGR232W
YBR097W YBR128C
YLR277C YPR107C
YAR007C YNL312W
YBL046W YDR075W
YDL111C YGR195W
YGL066W YMR227C
YFR040W YKR028W
YER172C YKL173W
YGR075C YNL147W
YGR179C YPL018W
YGL103W YPL249C-A
YDR240C YER029C
YDR427W YGL048C
YGL129C YGR215W
YBR081C YPL254W
YDR207C YPL139C
YGL112C YHR099W
YGR084C YNL306W
YBR152W YNL147W
YGR056W YML127W
YOR290C YPL016W
YLR002C YOR206W
YGR083C YKR026C
YDL150W YPR110C
YLR360W YPL120W
YER018C YMR117C
YGR084C YGR165W
YHR039C-A YOR270C
YDL147W YGL048C
YNL236W YPR168W
YHR085W YNL182C
YGL103W YIL018W
YLR312W-A YMR024W
YDR116C YML025C
YBR193C YGL127C
YDR116C YNL252C
YKL167C YPR100W
YGL048C YPR108W
YDR392W YGL066W
YDL185W YEL051W
YDR167W YDR448W
YDR303C YMR091C
YDL097C YFR052W
YLR071C YMR112C
YDR308C YMR112C
YDR176W YDR392W
YBR154C YPR190C
YDR301W YLR115W
YNL290W YOR144C
YHR081W YOR001W
YKL155C YNR037C
YHR069C YOL142W
YBR055C YHR165C
YBR152W YHR156C
YDR448W YGR252W
YDL116W YKL057C
YGR156W YKL018W
YBR146W YKL155C
YER094C YOR362C
YFR037C YGR275W
YIR010W YJR112W
YDR041W YPL118W
YLR192C YMR309C
YGR156W YOR179C
YDR167W YGR252W
YBR102C YPR055W
YMR288W YPL213W
YMR024W YPR100W
YCR071C YKR006C
YIL093C YMR158W
YBR154C YNR003C
YHR041C YLR071C
YBR154C YDR404C
YDR041W YKL003C
YER112W YPR082C
YGL172W YJL061W
YFR052W YIL075C
YHR010W YML073C
YBR102C YIL068C
YDR337W YHL004W
YGL213C YLR398C
YDR473C YLR147C
YKR006C YMR024W
YIL126W YLR321C
YDL111C YOR001W
YDR427W YFR010W
YGR220C YML009C
YCR081W YNL236W
YDR405W YKR006C
YBR282W YKL167C
YGR215W YHL004W
YGR084C YIL093C
YPR070W YPR168W
YNL172W YOR249C
YDR407C YKR068C
YNR038W YOL144W
YLR447C YMR054W
YNL290W YOR217W
YBL099W YDR298C
YCR093W YER068W
YHR119W YPL138C
YEL051W YGR020C
YKR085C YPR100W
YMR005W YMR223W
YDR175C YMR188C
YGL011C YGR135W
YDR237W YKR006C
YCR092C YDR097C
YDL147W YFR010W
YBR123C YPL007C
YJR135C YLR381W
YDR167W YML098W
YDR331W YHR188C
YGL048C YHR200W
YBR198C YCL010C
YFR052W YHR027C
YGR085C YML073C
YDR166C YGL233W
YDR337W YNL306W
YBR154C YKR025W
YER022W YGL127C
YDR240C YMR125W
YMR199W YPL256C
YER022W YLR071C
YGL048C YOR259C
YDR394W YHL030W
YBR119W YML046W
YIL093C YNR037C
YDR337W YGR165W
YBL084C YGL240W
YGL240W YLR127C
YER021W YGR232W
YIL061C YKL012W
YBR055C YDL098C
YDR235W YDR240C
YDR303C YGR275W
YJR113C YMR158W
YHR099W YLR055C
YLR312W-A YNL005C
YDL216C YIL071C
YBR278W YJL065C
YDL076C YNL330C
YFR004W YGL048C
YDR145W YDR167W
YER029C YPL178W
YGR013W YML046W
YGR005C YGR186W
YBR282W YHR147C
YNL236W YNR010W
YBR119W YIL061C
YER157W YNL041C
YER148W YLR055C
YPL210C YPR088C
YHR062C YNL221C
YBR081C YMR227C
YDR484W YJL029C
YBL074C YPR178W
YLR192C YNL244C
YDR322W YKL167C
YMR142C YPL143W
YFR030W YJR137C
YLR115W YOR179C
YDL075W YDR382W
YKR006C YLR312W-A
YDR041W YNL137C
YGR013W YIL061C
YDL098C YNL147W
YHR056C YMR033W
YOR207C YPR110C
YGR275W YMR033W
YHR165C YLR147C
YBR193C YGL025C
YMR005W YPL011C
YGL233W YJL085W
YHR056C YLR357W
YDR478W YNL282W
YDL140C YGL070C
YHR118C YPR162C
YGR275W YLR357W
YDL116W YJR042W
YGL127C YLR071C
YBR282W YPL183W-A
YKL022C YLR127C
YKR006C YNL005C
YGR220C YKR085C
YBL090W YGL129C
YGL151W YNL236W
YBR282W YDR462W
YKL155C YOR158W
YGL100W YKL057C
YER148W YML114C
